===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  3600
prediction time :  86400
cascade length [5,100]
model save at : ../model_save/topolstm/weibo1/
===================configuration===================
# Epochs:0
Train Loss mSEL:0.686349, Val Loss mSEL:0.737718, Test Loss mSEL:0.699182,
Train acc:0.492682, Val acc:0.475051, Test acc:0.487206,
Train Loss mape:19.469612, Val Loss mape:19.999388, Test Loss mape:17.988159,

# Epochs:36
Train Loss MSEL:2.745335, Val Loss MSEL:2.863819, Test Loss MSEL:2.720875,
Train Loss mSEL:0.684950, Val Loss mSEL:0.704546, Test Loss mSEL:0.683499,
Train acc:0.491598, Val acc:0.490217, Test acc:0.493164,
Train Loss mape:19.423210, Val Loss mape:20.715109, Test Loss mape:19.571949,

# Epochs:37
Train Loss MSEL:2.749051, Val Loss MSEL:2.897645, Test Loss MSEL:2.811858,
Train Loss mSEL:0.684257, Val Loss mSEL:0.811815, Test Loss mSEL:0.769428,
Train acc:0.493328, Val acc:0.453026, Test acc:0.459589,
Train Loss mape:19.473259, Val Loss mape:18.850271, Test Loss mape:18.265648,

# Epochs:38
Train Loss MSEL:2.758284, Val Loss MSEL:2.849091, Test Loss MSEL:2.659316,
Train Loss mSEL:0.687958, Val Loss mSEL:0.704278, Test Loss mSEL:0.678732,
Train acc:0.492432, Val acc:0.484863, Test acc:0.493774,
Train Loss mape:19.480864, Val Loss mape:21.032259, Test Loss mape:18.597137,

# Epochs:39
Train Loss MSEL:2.745070, Val Loss MSEL:2.847387, Test Loss MSEL:2.652617,
Train Loss mSEL:0.685986, Val Loss mSEL:0.711791, Test Loss mSEL:0.681326,
Train acc:0.494022, Val acc:0.480521, Test acc:0.489857,
Train Loss mape:19.456068, Val Loss mape:20.733576, Test Loss mape:18.563667,

# Epochs:40
Train Loss MSEL:2.752126, Val Loss MSEL:2.941675, Test Loss MSEL:2.754099,
Train Loss mSEL:0.679311, Val Loss mSEL:0.819850, Test Loss mSEL:0.785570,
Train acc:0.492315, Val acc:0.446463, Test acc:0.459037,
Train Loss mape:19.570202, Val Loss mape:19.270306, Test Loss mape:17.444618,

# Epochs:41
Train Loss MSEL:2.769917, Val Loss MSEL:2.839526, Test Loss MSEL:2.659029,
Train Loss mSEL:0.692662, Val Loss mSEL:0.704186, Test Loss mSEL:0.677132,
Train acc:0.489094, Val acc:0.484230, Test acc:0.489944,
Train Loss mape:19.462339, Val Loss mape:20.798883, Test Loss mape:18.379326,

# Epochs:42
Train Loss MSEL:2.757483, Val Loss MSEL:2.930113, Test Loss MSEL:2.645252,
Train Loss mSEL:0.692064, Val Loss mSEL:0.744371, Test Loss mSEL:0.707455,
Train acc:0.491865, Val acc:0.474220, Test acc:0.486072,
Train Loss mape:19.444344, Val Loss mape:20.508171, Test Loss mape:17.780346,

# Epochs:43
Train Loss MSEL:2.758413, Val Loss MSEL:2.830100, Test Loss MSEL:2.681533,
Train Loss mSEL:0.689290, Val Loss mSEL:0.750969, Test Loss mSEL:0.712758,
Train acc:0.490769, Val acc:0.471901, Test acc:0.483375,
Train Loss mape:19.339462, Val Loss mape:19.512794, Test Loss mape:17.767536,

# Epochs:44
Train Loss MSEL:2.758484, Val Loss MSEL:2.907065, Test Loss MSEL:2.703794,
Train Loss mSEL:0.681933, Val Loss mSEL:0.801594, Test Loss mSEL:0.768156,
Train acc:0.491439, Val acc:0.453491, Test acc:0.470750,
Train Loss mape:19.525084, Val Loss mape:19.426409, Test Loss mape:17.410940,

# Epochs:45
Train Loss MSEL:2.750843, Val Loss MSEL:2.845808, Test Loss MSEL:2.686660,
Train Loss mSEL:0.687762, Val Loss mSEL:0.772019, Test Loss mSEL:0.747803,
Train acc:0.492281, Val acc:0.459728, Test acc:0.475475,
Train Loss mape:19.432333, Val Loss mape:19.072807, Test Loss mape:17.294538,

# Epochs:46
Train Loss MSEL:2.744293, Val Loss MSEL:2.854121, Test Loss MSEL:2.682348,
Train Loss mSEL:0.682801, Val Loss mSEL:0.706980, Test Loss mSEL:0.680515,
Train acc:0.492853, Val acc:0.487293, Test acc:0.493652,
Train Loss mape:19.443794, Val Loss mape:21.312370, Test Loss mape:18.994028,

# Epochs:47
Train Loss MSEL:2.750342, Val Loss MSEL:2.884363, Test Loss MSEL:2.687362,
Train Loss mSEL:0.685745, Val Loss mSEL:0.774233, Test Loss mSEL:0.748152,
Train acc:0.492453, Val acc:0.459449, Test acc:0.477429,
Train Loss mape:19.522392, Val Loss mape:19.629269, Test Loss mape:17.861950,

# Epochs:48
Train Loss MSEL:2.752363, Val Loss MSEL:2.905413, Test Loss MSEL:2.659253,
Train Loss mSEL:0.688543, Val Loss mSEL:0.755824, Test Loss mSEL:0.716209,
Train acc:0.490813, Val acc:0.470180, Test acc:0.484619,
Train Loss mape:19.457968, Val Loss mape:20.521605, Test Loss mape:17.617491,

# Epochs:49
Train Loss MSEL:2.766185, Val Loss MSEL:2.807504, Test Loss MSEL:2.655340,
Train Loss mSEL:0.695011, Val Loss mSEL:0.701656, Test Loss mSEL:0.674413,
Train acc:0.488729, Val acc:0.492571, Test acc:0.494152,
Train Loss mape:19.403728, Val Loss mape:20.496063, Test Loss mape:18.446766,

# BEST, Val Loss MSEL:2.807504, Test Loss MSEL:2.645252,
