===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  6
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp1/
===================configuration===================
# Epochs:0
Train Loss mape:4.552382, Val Loss mape:4.862954, Test Loss mape:4.066158,

# Epochs:24
Train Loss MSEL:1.934756, Val Loss MSEL:1.981710, Test Loss MSEL:1.938535,
Train Loss mSEL:0.827364, Val Loss mSEL:0.848085, Test Loss mSEL:0.811197,
Train acc:0.510259, Val acc:0.506028, Test acc:0.512495,
Train Loss mape:4.562234, Val Loss mape:4.785841, Test Loss mape:4.039745,

# Epochs:25
Train Loss MSEL:1.936681, Val Loss MSEL:1.985156, Test Loss MSEL:1.942786,
Train Loss mSEL:0.830349, Val Loss mSEL:0.850175, Test Loss mSEL:0.815160,
Train acc:0.509370, Val acc:0.504544, Test acc:0.511311,
Train Loss mape:4.559777, Val Loss mape:4.778214, Test Loss mape:4.018582,

# Epochs:26
Train Loss MSEL:1.931937, Val Loss MSEL:1.986484, Test Loss MSEL:1.945926,
Train Loss mSEL:0.822650, Val Loss mSEL:0.853331, Test Loss mSEL:0.819681,
Train acc:0.511405, Val acc:0.503697, Test acc:0.509066,
Train Loss mape:4.562290, Val Loss mape:4.765327, Test Loss mape:4.022065,

# Epochs:27
Train Loss MSEL:1.938235, Val Loss MSEL:1.979861, Test Loss MSEL:1.941322,
Train Loss mSEL:0.832250, Val Loss mSEL:0.849175, Test Loss mSEL:0.810973,
Train acc:0.509316, Val acc:0.505280, Test acc:0.512371,
Train Loss mape:4.563387, Val Loss mape:4.790050, Test Loss mape:4.062829,

# Epochs:28
Train Loss MSEL:1.934143, Val Loss MSEL:1.979336, Test Loss MSEL:1.937893,
Train Loss mSEL:0.828868, Val Loss mSEL:0.845885, Test Loss mSEL:0.812525,
Train acc:0.509830, Val acc:0.506604, Test acc:0.513270,
Train Loss mape:4.570712, Val Loss mape:4.837369, Test Loss mape:4.045792,

# Epochs:29
Train Loss MSEL:1.930639, Val Loss MSEL:1.978012, Test Loss MSEL:1.936244,
Train Loss mSEL:0.822857, Val Loss mSEL:0.844242, Test Loss mSEL:0.812954,
Train acc:0.510854, Val acc:0.507537, Test acc:0.513528,
Train Loss mape:4.567111, Val Loss mape:4.811273, Test Loss mape:4.064537,

# Epochs:30
Train Loss MSEL:1.931809, Val Loss MSEL:2.001784, Test Loss MSEL:1.960282,
Train Loss mSEL:0.825482, Val Loss mSEL:0.841380, Test Loss mSEL:0.827081,
