===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  8
prediction time :  86400
cascade length [10,100]
model save at : ../model_save/topolstm/dblp/
===================configuration===================
# Epochs:0
Train Loss mape:9.891436, Val Loss mape:10.279819, Test Loss mape:11.193242,

# Epochs:30
Train Loss MSEL:1.970948, Val Loss MSEL:1.981827, Test Loss MSEL:2.040804,
Train Loss mSEL:0.871032, Val Loss mSEL:0.884956, Test Loss mSEL:0.885538,
Train acc:0.440157, Val acc:0.435369, Test acc:0.434929,
Train Loss mape:9.875680, Val Loss mape:10.160954, Test Loss mape:11.095847,

# Epochs:31
Train Loss MSEL:1.974161, Val Loss MSEL:1.975151, Test Loss MSEL:2.033780,
Train Loss mSEL:0.869669, Val Loss mSEL:0.893093, Test Loss mSEL:0.903487,
Train acc:0.439507, Val acc:0.430526, Test acc:0.430092,
Train Loss mape:9.899006, Val Loss mape:10.003827, Test Loss mape:10.920955,

# Epochs:32
Train Loss MSEL:1.970332, Val Loss MSEL:1.999040, Test Loss MSEL:2.055376,
Train Loss mSEL:0.864817, Val Loss mSEL:0.900683, Test Loss mSEL:0.913778,
Train acc:0.440829, Val acc:0.421782, Test acc:0.425053,
Train Loss mape:9.893663, Val Loss mape:9.870168, Test Loss mape:10.753644,

# Epochs:33
Train Loss MSEL:1.977269, Val Loss MSEL:1.983282, Test Loss MSEL:2.041241,
Train Loss mSEL:0.871116, Val Loss mSEL:0.883630, Test Loss mSEL:0.888612,
Train acc:0.439229, Val acc:0.435671, Test acc:0.435618,
Train Loss mape:9.895141, Val Loss mape:10.180004, Test Loss mape:11.089344,

# Epochs:34
Train Loss MSEL:1.971241, Val Loss MSEL:2.022211, Test Loss MSEL:2.079732,
Train Loss mSEL:0.868069, Val Loss mSEL:0.923170, Test Loss mSEL:0.930357,
Train acc:0.440083, Val acc:0.417710, Test acc:0.416708,
Train Loss mape:9.879807, Val Loss mape:9.775190, Test Loss mape:10.672398,

# Epochs:35
Train Loss MSEL:1.974950, Val Loss MSEL:1.977828, Test Loss MSEL:2.034120,
Train Loss mSEL:0.868882, Val Loss mSEL:0.893952, Test Loss mSEL:0.901794,
Train acc:0.439944, Val acc:0.429438, Test acc:0.429410,
Train Loss mape:9.897148, Val Loss mape:10.014241, Test Loss mape:10.879050,

# Epochs:36
Train Loss MSEL:1.971348, Val Loss MSEL:1.974919, Test Loss MSEL:2.035102,
Train Loss mSEL:0.865241, Val Loss mSEL:0.889397, Test Loss mSEL:0.887135,
Train acc:0.439658, Val acc:0.435275, Test acc:0.434516,
Train Loss mape:9.900972, Val Loss mape:10.128819, Test Loss mape:11.034846,

# Epochs:37
Train Loss MSEL:1.970801, Val Loss MSEL:1.983531, Test Loss MSEL:2.044067,
Train Loss mSEL:0.868521, Val Loss mSEL:0.889642, Test Loss mSEL:0.890068,
Train acc:0.439973, Val acc:0.436995, Test acc:0.435323,
Train Loss mape:9.884183, Val Loss mape:10.183859, Test Loss mape:11.130245,

# Epochs:38
Train Loss MSEL:1.973334, Val Loss MSEL:2.010904, Test Loss MSEL:2.070243,
Train Loss mSEL:0.866898, Val Loss mSEL:0.909905, Test Loss mSEL:0.904322,
Train acc:0.440140, Val acc:0.438847, Test acc:0.437682,
Train Loss mape:9.890487, Val Loss mape:10.326769, Test Loss mape:11.231183,

# Epochs:39
Train Loss MSEL:1.969705, Val Loss MSEL:1.973821, Test Loss MSEL:2.031722,
Train Loss mSEL:0.865432, Val Loss mSEL:0.897362, Test Loss mSEL:0.900508,
Train acc:0.440291, Val acc:0.432174, Test acc:0.432957,
